Observation,a_443,S_mod1,SR,r2_mod1,Station_name,Station_name_norsk,Station_code,Depth,Date,Comment
VT71_Skinnbrokleia_210930_10m,0.240764033,0.015861058,1.898769285,0.999000279,Skinnbrokleia,Skinnbrokleia,VT71,10,30/09/2021,
VR54_Straumsfjorden_210503_0m,0.241762452,0.018024951,1.249317974,0.999360971,straumsfjorden,Straumsfjorden,VR54,0,03/05/2021,
VR21_210707_10m,0.247602616,0.015299614,1.699989862,0.998361522,Bugoeynes,Bugøynes,VR21,10,07/07/2021,
VR21_210610_20m,0.252195445,0.013829273,1.920054501,0.998448414,Bugoeynes,Bugøynes,VR21,20,10/06/2021,
VR58_210624_20m,0.253662836,0.013008894,2.065533835,0.998600363,Ullsfjorden,Ullsfjorden,VR58,20,24/06/2021,
VR21_Bugoynes_211020_20m,0.269219686,0.014049687,2.782941488,0.998172168,Bugoeynes,Bugøynes,VR21,20,20/10/2021,
VR54_Straumsfjorden_210503_5,0.274675725,0.016629568,1.504078785,0.999008684,straumsfjorden,Straumsfjorden,VR54,5,03/05/2021,
VR54_Straumsfjorden_211030_5m,0.279436515,0.0138557,2.320344656,0.999006292,Straumsfjorden,Straumsfjorden,VR54,5,30/10/2021,
VT16_210714_5m,0.287688395,0.0148054,2.113695098,0.997906778,Kyrkjeboe,Kyrkjebø,VT16,5,14/07/2021,
VR54_Straumsfjorden_210928_0m,0.308731467,0.014695332,2.099174919,0.999023025,Straumsfjorden,Straumsfjorden,VR54,0,28/09/2021,
VR54_Straumsfjorden_211030_20m,0.311397694,0.0142982,2.32258811,0.998534853,Straumsfjorden,Straumsfjorden,VR54,20,30/10/2021,
VR54_Straumsfjorden_210621_0m,0.322975993,0.018398215,1.093955423,0.999586408,straumsfjorden,Straumsfjorden,VR54,0,21/06/2021,
VR54_Straumsfjorden_210519_0m,0.32307423,0.018078992,1.05982154,0.999635204,straumsfjorden,Straumsfjorden,VR54,0,19/05/2021,
VT16_Kyrkjebo_210818_20m,0.374934796,0.016490487,2.515719685,0.997852003,Kyrkjeboe,Kyrkjebø,VT16,20,18/08/2021,
VT71_Skinnbrokleia_210930_30m,0.37861403,0.016767341,2.54132078,0.997871455,Skinnbrokleia,Skinnbrokleia,VT71,30,30/09/2021,
VR21_Bugoynes_211020_10m,0.429171983,0.011780993,2.640953973,0.999214828,Bugoeynes,Bugøynes,VR21,10,20/10/2021,
VR58_210603_10m,0.444118057,0.013276093,2.799148797,0.997732115,Ullsfjorden,Ullsfjorden,VR58,10,03/06/2021,
VR58_Ullsfjorden_211014_0m,0.548373961,0.013031947,2.5933388,0.998892885,Ullsfjorden,Ullsfjorden,VR58,0,14/10/2021,
,,,,,,,,,,
